ip,out_degree,mean_sbytes,mean_dur,unique_dsport,unique_proto,src_attack_ratio,in_degree,mean_dbytes,dst_attack_ratio,total_degree,total_bytes
10.40.170.2,1118.0,48.38640429338104,2.4683200035778174,1.0,1.0,0.0,1118.0,0.0,0.0,2236.0,48.38640429338104
10.40.182.1,2113.0,242.89446284902982,39.91728220113582,2.0,3.0,0.0,0.0,0.0,0.0,2113.0,242.89446284902982
10.40.182.255,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,91.0,0.0
10.40.182.3,1112.0,48.564748201438846,2.6974646537769784,1.0,1.0,0.0,2026.0,46.95360315893386,0.0,3138.0,95.5183513603727
10.40.182.6,98.0,470.35714285714283,7.996938775510204e-05,2.0,2.0,0.0,10.0,0.0,0.0,108.0,470.35714285714283
10.40.198.10,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,217.0,0.0
10.40.85.1,2141.0,245.34329752452126,34.56165811630079,1.0,3.0,0.0,1324.0,100.17824773413898,0.0,3465.0,345.52154525866024
10.40.85.10,606.0,181.0990099009901,4.36074005280528,3.0,4.0,0.0,0.0,0.0,0.0,606.0,181.0990099009901
10.40.85.30,1127.0,183.6734693877551,26.62529643655723,1.0,1.0,0.0,924.0,103.15151515151516,0.0,2051.0,286.82498453927025
127.0.0.1,1.0,60.0,1.1e-05,1.0,1.0,0.0,1.0,40.0,0.0,2.0,100.0
149.171.126.0,197.0,35416.802030456856,0.30311644670050764,195.0,2.0,0.0,152836.0,44322.268267947344,0.0,153033.0,79739.0702984042
149.171.126.1,236.0,73090.53813559322,0.661631093220339,235.0,2.0,0.0,153540.0,45875.7605314576,0.0,153776.0,118966.29866705081
149.171.126.10,2006.0,268.1505483549352,0.0003912726819541376,6.0,4.0,0.0,11484.0,10839.880790665273,0.7945837687216998,13490.0,11108.031339020208
149.171.126.11,24.0,52734.5,0.5751610833333334,8.0,3.0,0.0,10133.0,9345.863515247212,0.6035724859370374,10157.0,62080.36351524721
149.171.126.12,2153.0,504.9763121226196,1.3637396976312124,6.0,3.0,0.0,10571.0,11329.933402705516,0.7989783369596065,12724.0,11834.909714828134
149.171.126.13,61.0,6628.786885245901,45.65122508196721,12.0,3.0,0.0,10773.0,11288.087719298246,0.6318574213311056,10834.0,17916.874604544148
149.171.126.14,2431.0,528.4265734265734,0.4929279609214315,6.0,3.0,0.0,11249.0,7284.99253266957,0.7430882745132901,13680.0,7813.419106096144
149.171.126.15,2533.0,284.5448085274378,0.002805213975523095,10.0,2.0,0.0,11505.0,11246.78409387223,0.7261190786614515,14038.0,11531.328902399668
149.171.126.16,8.0,2185.5,1.832427625,5.0,3.0,0.0,9201.0,9623.92316052603,0.5949353331159657,9209.0,11809.42316052603
149.171.126.17,20.0,815.1,0.37309479999999995,10.0,3.0,0.0,12290.0,8834.907241659886,0.7454027664768104,12310.0,9650.007241659887
149.171.126.18,6966.0,294.34137238013204,0.1790648797014068,9.0,3.0,0.0,14022.0,9378.395592640138,0.8374696904863785,20988.0,9672.736965020269
149.171.126.19,17.0,869.5294117647059,0.3693666470588235,11.0,3.0,0.0,9233.0,11125.466587241417,0.6638145781436153,9250.0,11994.995999006123
149.171.126.2,233.0,50532.01287553648,0.45609636909871243,232.0,2.0,0.0,153341.0,44671.53573408286,0.0,153574.0,95203.54860961935
149.171.126.3,243.0,65171.983539094654,0.6600249917695473,239.0,2.0,0.0,154219.0,45482.42023356396,0.0,154462.0,110654.40377265861
149.171.126.4,217.0,55102.8801843318,0.7261558064516128,215.0,2.0,0.0,153778.0,44359.230676689775,0.0,153995.0,99462.11086102157
149.171.126.5,267.0,40228.43071161049,0.4179080374531835,265.0,2.0,0.0,153107.0,45974.386768730365,0.0,153374.0,86202.81748034086
149.171.126.6,226.0,86042.36725663717,1.0661243097345132,224.0,2.0,0.0,147616.0,44176.95279644483,0.0,147842.0,130219.32005308199
149.171.126.7,197.0,46372.35532994924,0.5055861370558375,196.0,2.0,0.0,147982.0,44260.36230757795,0.0,148179.0,90632.71763752718
149.171.126.8,228.0,50975.77631578947,0.4604611052631579,228.0,2.0,0.0,145830.0,43796.17591030652,0.0,146058.0,94771.952226096
149.171.126.9,230.0,52933.95652173913,0.7292289347826088,226.0,2.0,0.0,147876.0,45549.958674835674,0.0,148106.0,98483.9151965748
175.45.176.0,27509.0,13194.623759496892,1.354944196008579,950.0,131.0,0.7537169653567923,4220.0,1.3777251184834123,0.0,31729.0,13196.001484615375
175.45.176.1,31848.0,11294.507975383069,1.2147530155425772,1514.0,132.0,0.763909821652851,6753.0,2.457722493706501,0.0,38601.0,11296.965697876774
175.45.176.2,21568.0,18525.29168212166,1.4651185915708456,1574.0,131.0,0.6699276706231454,55.0,160.38181818181818,0.0,21623.0,18685.673500303477
175.45.176.3,29578.0,13328.080668064102,1.0617266454797485,1877.0,131.0,0.6830076408141186,5207.0,0.7286345304397925,0.0,34785.0,13328.809302594542
192.168.241.243,89.0,1652.0,0.0,2.0,1.0,0.0,89.0,0.0,0.0,178.0,1652.0
192.168.241.50,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,194.0,0.0
224.0.0.1,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0
224.0.0.5,0.0,0.0,0.0,0.0,0.0,0.0,2388.0,0.0,0.0,2388.0,0.0
32.50.32.66,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0
59.166.0.0,153605.0,4448.970834282738,0.48649312330978806,36461.0,2.0,0.0,248.0,2601.5443548387098,0.0,153853.0,7050.515189121448
59.166.0.1,153460.0,4464.517300925322,0.4961958570050828,36411.0,2.0,0.0,247.0,3660.834008097166,0.0,153707.0,8125.351309022488
